s.no,code,product_name,brands,energy-kcal_value,sugars_value,carbohydrates_value,sugar_to_carb_ratio
1,6.11E+12,Sidi Ali,Sidi Ali,0,14,42,0.333333333
2,6.11E+12,Perly,Jaouda,97,11.1429842,9.4,0
3,6.11E+12,اكوافينا,AQUAFINA,0,0,0,0
4,6.11E+12,Lait,Jaouda,45,0,4.9,0
5,3.27E+12,Eau De Source,Cristaline,0,0,0,0
6,6.11E+12,Fromage blanc nature,MILKY FOOD PROFESSIONAL,80.6,0,6.1,0
7,6.11E+12,uht jaouda 1L,Jaouda,58,0,4.8,0
8,6.11E+12,Jben,Jaouda,235,0,3.5,0
9,6.11E+12,Ain Saïss,Danone,0,0,0,0
10,6.11E+12,Eau minéral naturelle,Ain atlas,0,0,0,0
11,6.11E+12,6.11E+12,Sidi Ali,0,0,0,0
12,50184453,Marmite Yeast Extract,"Marmite,Unilever",260,1.2,30,0.04
13,6.11E+12,,Jaouda,101,0,4.2,0
14,6.11E+12,Lait Frais,centrale danone,45,0,4.8,0
15,5.45E+12,Original Taste,Coca-Cola,42,10.6,10.6,1
16,6.11E+12,اكوافينا,pepsi,0,0,0,0
17,7.62E+12,Prince Goût Chocolat,Lu,467,32,69,0.463768116
18,3.05E+12,Lindt Excellence 90%,Lindt&Sprüngli,200,2,9,0.222222222
19,3.02E+12,Nutella,Ferrero,539,56.3,57.5,0.979130435
20,5.45E+12,Orange juice,Coca cola,39,17,9.3,1.827956989
21,6.11E+12,Tonik,Bimo,116,9.2,16.5,0.557575758
22,6.11E+12,levure pâtisserie,,183,0,43.4,0
23,6.11E+12,Ain Saiss Eau Minerale Naturelle,Danone,0,0,0,0
24,3.18E+12,Sésame,Gerblé,467,17,64,0.265625
25,6.11E+12,Confiture de fraise,Délicia,250,63,61.33,1.027229741
26,6.11E+12,Yaourt nature,Jaouda,78.5,0,8,0
27,8.41E+12,zero sin azúcares Fibra,Gullón,431,0.5,65,0.007692308
28,6.11E+12,Ain Atlas,Eau minérale naturelle,0,0,0,0
29,5.03E+12,Sourdough White Ciabattin Bread,Jason’s,230,2.4,44.1,0.054421769
30,5.41E+12,Geröstete Mandel Ohne Zucker,Alpro,15,0,0,0
31,3.27E+12,CRISTALINE Eau De Source 0.5L,Cristaline,0,11.1429842,0,0
32,3.02E+12,Nutella,Ferrero,539,56.3,57.5,0.979130435
33,5.03E+12,The Great White Sourdough,Jason's,107,0.9,20.9,0.043062201
34,5.03E+12,Sourdough Grains & Seeds,Jason's,114,0.7,19.3,0.03626943
35,6.11E+12,Cheddar,la Hollandaise,270,6,6,1
36,6.11E+12,Ketchup star 310 g,Star,108,22.36,25.7,0.870038911
37,6.11E+12,Cosumar Sucre En Lingot Pour Le Thé 1 kg,COSUMAR,400,100,100,1
38,3.36E+12,Henry’s,Henry's,440,24.2353,76.4706,0.316923105
39,6.11E+12,Assil,Danone,95.5,9,14,0.642857143
40,6.11E+12,Salim,Salim,58,0,4.8,0
41,5.45E+12,Coca-Cola,Coca-Cola,42,10.6,10.6,1
42,6.11E+12,Cremy,jaouda,109,2,16.9,0.118343195
43,5.45E+12,Ciel,THE COCA-COLA COMPANY,0,0,0,0
44,42104964,Ciel 33cl,Ciel,0,0,0,0
45,8.43E+12,,Maruja,539,50,53,0.943396226
46,6.11E+12,ain saiss 50cl,Danone,0,0,0,0
47,6.11E+12,Cream cheese,Original,257,0,3.1,0
48,6.11E+12,,BAHIA,0,0,0,0
49,6.11E+12,Oulmes Eau Gazeuse,Oulmès,0,0,0,0
50,6.11E+12,jibal jben,jibal,138,3.5,6.14,0.570032573
51,6.11E+12,KING COOKIES,Excelo,483,32,61.5,0.520325203
52,6.11E+12,Jamila,Danone,72,9,12.4,0.725806452
53,6.11E+12,Eau,Aïn lfrane,0,0,0,0
54,6.11E+12,Aquafina 50cl,Aquafina,1,0.1,0.1,1
55,8.45E+12,sauce tomate cuisinée,solis,34,2.2,3.8,0.578947368
56,5.45E+12,Coca-Cola Zero,Coca-Cola,0.3,0,0,0
57,3.36E+12,Sable coco Henry s 42g,Henry's,186,10,31,0.322580645
58,5.00E+12,Fasole albă în sos de roșii,Heinz,81,4.3,15.5,0.277419355
59,6.11E+12,Aïn Atlas 50cl,Aïn Atlas,0,0,0,0
60,5.41E+12,Hafer Milch,ALPRO,44,0,5.5,0
61,7.39E+12,Oat Drink Barista Edition,Oatly,61,3.4,7.1,0.478873239
62,6.11E+12,Lait U.H.T entier,Dost,58,11.1429842,4.8,0
63,7.30E+12,Tartine croustillante Authentique,wasa,336,1,62,0.016129032
64,6.11E+12,Familia 200g,,532,0,0.2,0
65,6.11E+12,Star vinaigre de table BLANC,Star,1,0.15,0.15,1
66,6.11E+12,,Gervais,137,7.2,11.7,0.615384615
67,8.05E+12,Nocciolata,Rigoni Di Asiago,544,51,54,0.944444444
68,5.06E+12,Lightly sea salted crisps,Tyrrell's,476,0.64,49,0.013061224
69,5.01E+12,Weetabix,Weetabix,136,1.6,26,0.061538462
70,3.06E+12,Eau Minérale Naturelle,Volvic,0,0,0,0
71,6.11E+12,Filets de maquereau,joly,180,0.6,0.6,1
72,3.16E+12,Tartine Doux,Primevère,495,0,0,0
73,6.11E+12,6.11E+11,sos,73,2.3,8.7,0.264367816
74,6.11E+12,Aïn Soltane,سلطان,0,0,0,0
75,6.11E+12,,8dh,180,0.16,0.6,0.266666667
76,3.23E+12,Fourrés Chocolat Noir,Bjorg,481,27,65,0.415384615
77,6.11E+12,Confiture De Fraises 430 G,El Baraka,256,62,63,0.984126984
78,20022464,NOIR INTENSE 74% CACAO,fin CARRÉ,114,5.2,6.4,0.8125
79,5.45E+12,Hawai Tropical,"Hawai,Coca cola",41,9.5,10,0.95
80,6.11E+12,Lait Entier UHT,Jaouda,58,4.2,4.8,0.875
81,8.72E+12,Sojasauce,Kikkoman,77,0.6,3,0.2
82,3.33E+12,Skyr nature 0%,Yoplait,57,3.6,3.6,1
83,5.01E+12,Organic - Lightly Salted - Wholegrain Low Fat - Rice Cakes imp,Kallø,28,0,5.6,0
84,6.92E+12,Green Tea,green tea,0.5,0.2,0.5,0.4
85,3.76E+12,Pain de mie grandes tranches Seigle & Graines 500g,La Boulangère,297,4.2,37,0.113513514
86,8.05E+12,Nocciolata bio,Rigoni di Asiago,544,51,54,0.944444444
87,5.03E+12,JASON'S SOURDOUGH 07 SUPERB SPROUTED GRAINS,JASON'S,233,1.2,21.8,0.055045872
88,7.30E+12,FIBRES,Wasa,333,2,46,0.043478261
89,7.31E+12,Krisprolls complets sans sucres ajoutés,Krisprolls,400,1.1,68,0.016176471
90,3.03E+12,14 Maxi Tranches complet sans sucres ajoutés,Jacquet,243,3.8,42,0.09047619
91,3.36E+12,Henry’s,Henry’s,374,20.6,65,0.316923077
92,6.11E+12,Confiture d'abricot,Delicia,272,50,67.36,0.742280285
93,8.08E+12,PESTO alla GENOVESE,Barilla,492,5,11,0.454545455
94,5.41E+12,Mandelmilch mit Zucker,alpro,22,2.4,2.4,1
95,3.17E+12,cruesly mélange de noix,Quaker,462,12,57,0.210526316
96,6.11E+12,Momo black,Excelo,497,27,70,0.385714286
97,16256163,poulain,Poulain,522,59,60,0.983333333
98,6.11E+12,,Star,385.56,16,20.9,0.765550239
99,50457236,Tomato Ketchup,Heinz,15,3.4,3.5,0.971428571
100,5.41E+12,Original,"LU, Mondelēz, Tuc, Mondelez",482,7.1,67,0.105970149
101,6.11E+12,Aïn Ifrane,,0,11.1429842,29.40528301,0
102,6.11E+12,,Idéal,392,89.4,97.6,0.915983607
103,3.02E+12,Nutella,"Ferrero, Nutella",539,56.3,57.5,0.979130435
104,6.11E+12,Merendino,"Bimo,Mondelez",410,39,55,0.709090909
105,8.00E+12,Biscuits croquants au coeur onctueux de Nutella®,"Nutella,Ferrero",515,35.8,64,0.559375
106,6.11E+12,DANONE ASSIL BANANE,Danone,95.5,9,14,0.642857143
107,16256866,1848 Chocolat en poudre,Poulain,515,61,63,0.968253968
108,6.11E+12,Jebli,"Centrale, Danone, Jebli",225,0,6.9,0
109,6.11E+12,El Baraka Confiture D'abricots 430 G,el baraka,244,50,60.5,0.826446281
110,8.00E+12,S. Pellegrino Water,"Nestlé,Nestlé Waters,San Pellegrino",0,0,0,0
111,59032823,nutella,"Ferrero,Nutella",539,56.3,57.5,0.979130435
112,6.11E+12,Nescafé,Nescafe,8,1.2,1.2,1
113,3.16E+12,Primevère bio doux tartine & cuisson,Primevère,485,0,0,0
114,50160884,Vegan Bouillon powder reduced salt,Marigold,240,4,30.8,0.12987013
115,6.11E+12,Eyoo cover,EXCELO,452,0,55,0
116,6.11E+12,raibi jaoda,Jaouda,75.3,13.5,13.58,0.994108984
117,3.07E+12,La salvetat,"Danone,La Salvetat",0,0,0,0
118,6.11E+12,Tendre nature,"Tendre, jouda",119,9,14.3,0.629370629
119,4.06E+12,NATURAL YOGURT,Milbona Lidl,158,5.5,5.8,0.948275862
120,6.11E+12,Yaourt Grec Muesli,Jaouda,140,9,16.1,0.559006211
121,6175700,Tartines craquantes au sarrasin imp,"Ekibio,Le pain des Fleurs",388,2.6,75,0.034666667
122,5.01E+12,Dark Rye Crispbread,Ryvita,37,0.3,7.1,0.042253521
123,6.11E+12,Danino,Danone,132.2,8.6,12.3,0.699186992
124,5.45E+12,Coca-Cola Zero,Coca-Cola,0.2,11.1429842,0,0
125,6.11E+12,Pipas,,520,1.65,38.9,0.042416452
126,3.18E+12,Pomme 🍏 🍎 Noisette🥜,Gerblé,453,11,62,0.177419355
127,54491472,"coca cola 0,5",Coca-Cola,44,10.9,10.9,1
